Transaction Date,Debit,Credit,Category
2023-09-22,-28.84,,NEEDS
2023-09-22,-28.8,,WANTS
2023-09-22,-346,,WANTS
2023-09-22,-40.2,,WANTS
2023-09-26,-1.57,,WANTS
2023-09-26,-23.72,,WANTS
2023-09-26,-50,,NEEDS
2023-09-27,-92.8,,WANTS
2023-09-27,,1714.28,
2023-09-28,-13.87,,WANTS
2023-09-29,-24.77,,NEEDS
2023-09-29,-26.65,,NEEDS
2023-09-29,-500,,MOM
2023-09-30,-14.83,,NEEDS
2023-09-30,-17.5,,NEEDS
2023-09-30,-5.97,,NEEDS
2023-09-30,-27.03,,NEEDS
2023-09-30,-24.77,,NEEDS
2023-09-30,-1254.26,,SAVING
2023-10-02,-180,,NEEDS
2023-10-02,-56.44,,NEEDS
2023-10-03,-56.49,,WANTS
2023-10-04,-30.48,,NEEDS
2023-10-04,-15,,WANTS
2023-10-05,-20.77,,NEEDS
2023-10-05,-20.82,,NEEDS
2023-10-06,-5.07,,NEEDS
2023-10-06,-21.4,,WANTS
2023-10-06,-21.06,,NEEDS
2023-10-06,-28.96,,NEEDS
2023-10-06,-25,,WANTS
2023-10-07,-28.68,,NEEDS
2023-10-07,-46.88,,WANTS
2023-10-07,-475,,WANTS
2023-10-10,-14.68,,WANTS
2023-10-10,-74.64,,WANTS
2023-10-10,-7.22,,NEEDS
2023-10-10,-29.13,,WANTS
2023-10-10,-6.76,,NEEDS
2023-10-10,-67.8,,WANTS
2023-10-10,-25.99,,NEEDS
2023-10-10,,1714.27,
2023-10-10,-48,,WANTS
2023-10-12,-47.43,,WANTS
2023-10-14,-24.85,,WANTS
2023-10-15,-10.84,,NEEDS
2023-10-17,-18.25,,WANTS
2023-10-17,-5.99,,NEEDS
2023-10-18,-14.05,,WANTS
2023-10-19,-42.91,,NEEDS
2023-10-19,-47.73,,WANTS
2023-10-20,-3.15,,NEEDS
2023-10-20,-5.99,,NEEDS
2023-10-21,-31.98,,NEEDS
2023-10-21,-63.27,,WANTS
2023-10-24,-35.33,,NEEDS
2023-10-24,-77.97,,WANTS
2023-10-24,-4.52,,NEEDS
2023-10-24,-70,,WANTS
2023-10-26,-44.8,,NEEDS
2023-10-27,-27.98,,NEEDS
2023-10-27,-5,,NEEDS
2023-10-27,-18.63,,NEEDS
